saved_filename,template_id,species_id,scientific_name,songtype,freq_min_hz,freq_max_hz,duration_secs,template_name,template_created_by,recording_local_time,site_name,site_latitude,site_longitude,project_name
ltome-simple-call-51722.wav,51722,44947,Loxodonta africana,Simple Call,173.59855334538878,1873.4177215189873,1.6996291718170582,Ltome-Simple Call,Douglas M.N douglas.mbura@gmail.com,2024-07-10 21:02:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
ltome-simple-call-51724.wav,51724,44947,Loxodonta africana,Simple Call,397.8300180831826,3652.8028933092223,2.4474660074165646,Ltome-Simple Call,Douglas M.N douglas.mbura@gmail.com,2024-07-10 12:05:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
rata-katip-sonido-de-apareamiento-de-rata-shuar-51815.wav,51815,47296,Rattus norvegicus,Simple Call,556.9620253164557,3869.801084990958,5.778739184177997,Rata (Katip)-sonido de apareamiento de rata(shuar),Douglas M.N douglas.mbura@gmail.com,2024-07-11 01:15:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
baboon-lotim-frightened-nkuureisho-51837.wav,51837,46464,Papio anubis,Simple Call,355.74837310195227,1101.9522776572667,3.4185082872928163,Baboon(Lotim)-Frightened-(Nkuureisho),lekilia paul lekiliapaul@gmail.com,2024-07-11 00:59:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
baboon-lotim-frightened-nkuureisho-11-51838.wav,51838,46464,Papio anubis,Simple Call,338.39479392624725,824.2950108459869,1.5953038674033166,Baboon(Lotim)-Frightened-(Nkuureisho)11,lekilia paul lekiliapaul@gmail.com,2024-07-11 00:59:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
quarantine-elephant-ltome-eager-51845.wav,51845,44947,Loxodonta africana,Simple Call,644.974692524643,1226.31959491076,2.127071823204421,Quarantine-Elephant(Ltome)-eager,lekilia paul lekiliapaul@gmail.com,2024-07-10 09:11:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
quarantine-elephant-ltome-fighting-ndarata-51846.wav,51846,44947,Loxodonta africana,Simple Call,471.4389007675932,3516.9920461038187,1.2154696132596712,Quarantine-Elephant(Ltome)-Fighting(Ndarata),lekilia paul lekiliapaul@gmail.com,2024-07-10 09:12:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
quarantine-elephant-ltome-rampaging-aoro-51852.wav,51852,44947,Loxodonta africana,Simple Call,384.67100488906823,3143.8900938261613,1.9751381215469621,Quarantine-Elephant(Ltome)-Rampaging(Aoro),lekilia paul lekiliapaul@gmail.com,2024-07-10 18:11:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
quarantine-elephant-ltome-fighting-51853.wav,51853,44947,Loxodonta africana,Mechanical Song,315.2566881862483,3404.1937814617363,0.9116022099447463,Quarantine-Elephant(Ltome)-Fighting,lekilia paul lekiliapaul@gmail.com,2024-07-10 15:08:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
quarantine-elephant-ltome-fighting2-51854.wav,51854,44947,Loxodonta africana,Mechanical Song,688.3586404639055,1547.3608096613025,1.4433701657458542,Quarantine-Elephant(Ltome)-Fighting2,lekilia paul lekiliapaul@gmail.com,2024-07-10 15:09:00,Quarantine,1.11567,37.46021,Namunyak Conservancy - Reteti Elephant Sanctuary
elephant-ltome-drinking-amat-kare-51855.wav,51855,44947,Loxodonta africana,Simple Call,80.98336931423096,1044.1070135658579,6.988950276243093,Elephant-(Ltome)-Drinking -(Amat Kare),lekilia paul lekiliapaul@gmail.com,2024-07-03 03:02:00,Reteti House - New water point,1.1126819,37.454303,Namunyak Conservancy - Reteti Elephant Sanctuary
elephant-ltome-splashing-aituko-51856.wav,51856,44947,Loxodonta africana,Simple Call,133.04410684134592,2267.5343454530594,1.6712707182320443,Elephant-(Ltome)-Splashing-(Aituko),lekilia paul lekiliapaul@gmail.com,2024-07-03 03:19:00,Reteti House - New water point,1.1126819,37.454303,Namunyak Conservancy - Reteti Elephant Sanctuary
